state,total_cases,number_injured,number_killed,total_casualty,people_involved,spv,upd,tbt,mdv,bfl,ovl,dot,wot
Ebonyi,100,18,118,272,19,0,4,2,0,0,0,4,0
Edo,158,33,191,419,68,0,2,3,7,0,0,11,1
Ekiti,127,10,137,287,30,0,0,0,6,0,0,3,2
Enugu,270,28,298,748,45,0,6,1,21,0,0,7,2
FCT,562,57,619,1629,260,0,12,0,3,2,0,5,19
Gombe,218,13,231,334,38,3,5,1,1,0,0,7,8
Imo,85,16,101,251,10,0,2,1,4,0,0,3,3
Jigawa,312,65,377,560,89,0,8,1,0,7,1,3,2
Kaduna,684,144,828,1471,118,0,7,3,2,3,0,29,2
Kano,131,53,184,283,16,0,4,0,1,0,0,3,8
Katsina,98,33,131,138,21,0,2,0,0,0,0,1,2
Kebbi,159,59,218,312,41,0,0,1,0,1,0,4,8
Kogi,280,42,322,786,72,0,5,4,7,0,0,9,6
Kwara,255,21,276,551,65,0,5,5,3,0,0,7,4
Lagos,233,41,274,689,71,1,2,13,15,0,0,9,10
Nasarawa,535,33,568,921,126,0,9,1,4,1,0,32,34
Niger,577,150,727,1227,162,2,5,0,2,0,0,27,6
Ogun,618,98,716,1889,253,0,6,19,2,1,1,10,5
Ondo,251,51,302,580,72,0,2,1,4,0,1,11,12
Osun,324,82,406,866,78,0,8,4,6,1,0,17,9
Oyo,344,58,402,888,88,1,14,4,11,0,0,18,6
Plateau,249,25,274,417,23,0,4,5,15,0,0,9,10
Rivers,88,23,111,208,16,0,2,0,2,0,0,6,4
Sokoto,78,15,93,175,26,0,2,0,0,0,0,0,3
Taraba,128,3,131,211,18,0,0,0,0,1,0,6,15
Yobe,292,41,333,502,33,0,14,0,0,2,0,8,7
Zamfara,56,19,75,110,9,0,2,0,0,0,0,4,0
TOTAL,8827,1432,10259,19764,2153,7,161,85,157,22,6,306,209
STATE,NUMBER INJURED,NUMBER KILLED,TOTAL CASUALTY,PEOPLE INVOLVED,SPV,UPD,TBT,MDV,BFL,OVL,DOT,WOT,DGD
Abia,89,7,96,209,8,0,2,0,7,0,0,2,1
Adamawa,117,17,134,213,62,0,4,0,0,0,0,10,0
Akwa Ibom,75,15,90,164,12,0,1,3,4,0,1,0,0
Anambra,121,14,135,344,24,0,1,3,12,0,0,8,0
Bauchi,523,93,616,888,124,2,18,2,0,9,1,29,21
Bayelsa,17,1,18,27,16,0,1,1,0,0,0,1,0
Benue,225,24,249,395,34,1,2,0,0,0,0,3,4
Borno,207,66,273,375,13,0,1,1,0,1,0,2,1
Cross River,81,21,102,257,48,0,2,1,3,2,0,6,3
Delta,174,30,204,306,29,0,7,4,1,1,0,1,3
Ebonyi,118,19,137,368,16,0,2,0,1,0,0,4,4
Edo,142,23,165,487,61,0,1,0,6,0,0,3,2
Ekiti,40,9,49,101,18,0,0,0,5,0,0,1,0
Enugu,157,19,176,481,24,0,8,0,14,0,0,2,1
FCT,791,127,918,2103,172,0,8,3,4,0,3,6,31
Gombe,363,47,410,656,44,5,7,0,0,5,0,5,27
Imo,97,21,118,235,20,0,2,0,5,0,0,3,5
Jigawa,624,44,668,1043,142,2,14,0,0,9,2,7,4
Kaduna,810,142,952,1728,121,0,8,2,2,1,3,16,9
Kano,411,94,505,781,30,0,1,1,0,1,1,3,3
Katsina,169,32,201,278,11,0,0,0,0,0,0,1,3
Kebbi,186,43,229,391,47,1,0,0,0,0,0,8,5
Kogi,413,81,494,1287,105,0,5,7,15,1,0,20,7
Kwara,252,54,306,632,64,0,4,6,2,0,0,18,9
Lagos,268,42,310,808,84,0,4,17,6,0,0,12,13
Nasarawa,580,57,637,1216,92,1,4,25,9,4,8,22,20
Niger,553,96,649,1075,154,0,7,2,7,2,0,21,6
Ogun,663,77,740,1737,239,1,0,17,0,0,0,18,9
Ondo,247,33,280,593,95,1,6,1,9,1,0,10,29
Osun,319,39,358,795,73,0,9,5,6,0,2,11,6
Oyo,423,84,507,984,101,1,12,7,8,2,2,15,17
Plateau,254,29,283,522,31,0,2,5,21,0,0,5,6
Rivers,43,16,59,156,14,0,5,0,6,0,2,4,3
Sokoto,148,26,174,259,61,0,2,0,0,0,0,0,1
Taraba,192,8,200,361,25,0,2,0,0,6,0,3,11
Yobe,237,35,272,423,29,0,10,2,0,1,1,2,10
Zamfara,103,23,126,174,22,0,2,0,0,0,0,5,1
TOTAL,10232,1608,11840,22852,2265,15,164,115,153,46,26,287,275
STATE,NUMBER INJURED,NUMBER KILLED,TOTAL CASUALTY,PEOPLE INVOLVED,SPV,UPD,TBT,MDV,BFL,OVL,DOT,WOT,DGD
Abia,144,13,157,260,20,0,5,1,8,0,0,3,0
Adamawa,245,61,306,488,75,0,2,2,0,0,0,15,1
Akwa Ibom,35,7,42,84,12,1,0,1,0,0,0,1,0
Anambra,103,22,125,376,24,0,1,0,7,0,0,8,0
Bauchi,499,73,572,1105,90,0,8,2,0,2,0,19,17
Bayelsa,61,2,63,140,29,0,0,0,0,1,0,5,0
Benue,221,27,248,461,55,2,2,3,3,0,0,4,4
